"Names","Land_Cover_Type","Mean_EVI","Acceptable_Polygon"
"10km Buffer",NA,"1.00795586068339",TRUE
"5km Buffer","<NA>","1.060278966811",TRUE
"Pivot Novo","cover croops, grazing, cereals","0.905108440336717",FALSE
"Cerca do Trigo","Grazing","1.11438697861744",TRUE
"Cerca do Monte","Multispecies Grazing","1.17121944003762",TRUE
"Varzea Cerca do trigo","Cover crops","1.07795680435558",TRUE
"Barrada","Grazing","1.25612124022035",TRUE
"Varzea Gamela","Cover Crops","0.974047433411629",FALSE
"Cerca do Meio Norte","Grazing","1.20866458306101",TRUE
"Cerca Do Meio Sul","Grazing","1.12227483013548",TRUE
"Cerca Do Poço Novo Norte","Grazing","1.20482096418507",TRUE
"Cerca do Poço Novo Sul","Grazing","1.07581696354075",TRUE
"Cabo Espichel","Grazing","1.39993103098574",TRUE
"Cerca Vilela","Grazing and olive","1.2052355076001",TRUE
"Cerca Da Fonte","Grazing and Olive","1.27784753424717",TRUE
"Cerca de S.Luis","Cover Crops, Olive and Grazing","1.19922057549225",TRUE
"Moguerinha","Grazing and Olive","1.26981146534654",TRUE
"Ferrarias","Grazing","1.16181196304023",TRUE
"Varzea S.Luis","Grazing and cover crops","1.15595060801531",TRUE
"Old Pivot","cover croops, grazing, cereals","0.886356177177789",FALSE
"varzea new pivot","cover croops, grazing, cereals","0.993879084976497",TRUE
"Varzea poco 2","cover croops, grazing, cereals","1.06633408156151",TRUE
"varzea poco2","cover croops, grazing, cereals","1.00263087174737",TRUE
"cabeco dos sobreiros","Grazing","1.02913416413843",TRUE
"Boxico","Grazing","1.21731905402125",TRUE
"Boxico2","grazing","1.12367299815599",TRUE
"\""Maternitys\"" multispicies","Grazing, agroforest\""fruits\""","0.985094802356389",FALSE
"mangment padocks","Grazing","1.06552451816704",TRUE
"cerca junto a estrada","Grazing","0.999510924526312",TRUE
"Cerca do trevo1","Grazing","1.05890090756898",TRUE
"varzea cerca do trevo","cover croops","0.913034944277673",FALSE
"cerca do trevo2","grazing","1.09597686765026",TRUE
"Varzea Barragens","cover croops, grazing, cereals","1.04015112903069",TRUE
"Cabeco Barragem","Grazing","1.08266840621721",TRUE
"Cerca da Pedreira","Grazing","1.06634420846973",TRUE
"Varzea cerca da fonte","cover croops, grazing, cereals","1.33950962002601",TRUE
"Cabeco Galinholas","Grazing","1.3514451669903",TRUE
